"Tag Code","Site Name","First Time Value","Count"
"3D9.1C2D09E867","BCC - BON PH2 Corner Collector","5/24/2011 7:03:58 PM","1"
"3D9.1C67C5178C","BCC - BON PH2 Corner Collector","5/23/2011 2:09:56 AM","1"
"3D9.1C2D0BC8CD","B2J - Bonneville PH2 Juvenile","5/22/2011 4:14:29 AM","1"
"3D9.1C67C48721","B2J - Bonneville PH2 Juvenile","5/20/2011 10:24:29 AM","1"
"3D9.1C67C5363D","B2J - Bonneville PH2 Juvenile","5/17/2011 11:45:27 AM","1"
"3D9.1C67C48F42","B2J - Bonneville PH2 Juvenile","5/14/2011 9:37:00 PM","1"
"3D9.1C2D858ADB","B2J - Bonneville PH2 Juvenile","5/14/2011 8:00:47 AM","1"
"3D9.1C2D858DF9","B2J - Bonneville PH2 Juvenile","5/14/2011 3:15:07 AM","1"
"3D9.1C67C54670","B2J - Bonneville PH2 Juvenile","5/14/2011 1:00:22 AM","1"
"3D9.1C67C53455","B2J - Bonneville PH2 Juvenile","5/13/2011 10:21:25 PM","1"
"3D9.1C2D855C8A","B2J - Bonneville PH2 Juvenile","5/13/2011 8:13:53 PM","1"
"3D9.1C67C4B527","B2J - Bonneville PH2 Juvenile","5/13/2011 3:23:25 PM","1"
"3D9.1C2D8598B0","B2J - Bonneville PH2 Juvenile","5/13/2011 7:14:32 AM","1"
"3D9.1C67C44A15","BCC - BON PH2 Corner Collector","5/13/2011 7:04:24 AM","1"
"3D9.1C2D859096","BCC - BON PH2 Corner Collector","5/13/2011 4:41:50 AM","1"
"3D9.1C67C48433","BCC - BON PH2 Corner Collector","5/12/2011 11:57:47 PM","1"
"3D9.1C2D0A23A6","B2J - Bonneville PH2 Juvenile","5/12/2011 8:12:58 PM","1"
"3D9.1C67C4C55D","B2J - Bonneville PH2 Juvenile","5/12/2011 6:41:53 PM","1"
"3D9.1C67C51594","BCC - BON PH2 Corner Collector","5/12/2011 9:07:18 AM","1"
"3D9.1C67C4C6EE","B2J - Bonneville PH2 Juvenile","5/12/2011 2:20:15 AM","1"
"3D9.1C67C538D2","B2J - Bonneville PH2 Juvenile","5/11/2011 1:31:30 AM","1"
"3D9.1C2D0024A1","B2J - Bonneville PH2 Juvenile","5/10/2011 12:45:08 PM","1"
"3D9.1C67C49AE4","BCC - BON PH2 Corner Collector","5/9/2011 12:52:41 PM","1"
"3D9.1C67C4AA92","BCC - BON PH2 Corner Collector","5/8/2011 8:03:29 PM","1"
"3D9.1C67C4C661","B2J - Bonneville PH2 Juvenile","5/8/2011 3:10:36 PM","1"
"3D9.1C67C49972","BCC - BON PH2 Corner Collector","5/8/2011 6:34:37 AM","1"
"3D9.1C67C49EB6","BCC - BON PH2 Corner Collector","5/8/2011 5:23:21 AM","1"
"3D9.1C67C519BE","BCC - BON PH2 Corner Collector","5/8/2011 4:57:54 AM","1"
"3D9.1C67C51789","BCC - BON PH2 Corner Collector","5/8/2011 4:39:37 AM","1"
"3D9.1C2D09B2C7","BCC - BON PH2 Corner Collector","5/8/2011 3:59:45 AM","1"
"3D9.1C67C51D57","B2J - Bonneville PH2 Juvenile","5/8/2011 3:45:11 AM","1"
"3D9.1C2D844759","BCC - BON PH2 Corner Collector","5/6/2011 7:57:01 PM","1"
"3D9.1C67C48683","B2J - Bonneville PH2 Juvenile","5/6/2011 4:57:44 AM","1"
"3D9.1C67C4C948","B2J - Bonneville PH2 Juvenile","5/5/2011 11:58:35 PM","1"
"3D9.1C67C48ACB","BCC - BON PH2 Corner Collector","5/5/2011 1:56:42 PM","1"
"3D9.1C67C54652","BCC - BON PH2 Corner Collector","5/5/2011 1:28:40 PM","1"
"3D9.1C67C51EA9","B2J - Bonneville PH2 Juvenile","5/3/2011 12:33:01 AM","1"
"3D9.1C67C537E5","B2J - Bonneville PH2 Juvenile","5/2/2011 6:13:43 AM","1"
"3D9.1C67C517D0","B2J - Bonneville PH2 Juvenile","5/1/2011 8:47:54 PM","1"
"3D9.1C2D85B479","BCC - BON PH2 Corner Collector","4/29/2011 3:15:13 PM","1"
"3D9.1C67C49B81","BCC - BON PH2 Corner Collector","6/23/2010 5:29:26 AM","1"
"3D9.1C67C544B5","BCC - BON PH2 Corner Collector","6/21/2010 3:40:36 PM","1"
"3D9.1C67C53640","BCC - BON PH2 Corner Collector","6/20/2010 10:51:24 AM","1"
"3D9.1C67C48ADF","B2J - Bonneville PH2 Juvenile","6/19/2010 6:14:41 AM","1"
"3D9.1C67C514C3","BCC - BON PH2 Corner Collector","6/18/2010 6:24:31 AM","1"
"3D9.1C67C49FB3","BCC - BON PH2 Corner Collector","6/17/2010 9:52:09 AM","1"
"3D9.1C67C4C4DC","BCC - BON PH2 Corner Collector","6/16/2010 7:09:30 PM","1"
"3D9.1C2D174337","B2J - Bonneville PH2 Juvenile","6/16/2010 9:45:08 AM","1"
"3D9.1C67C51C3A","BCC - BON PH2 Corner Collector","6/15/2010 6:50:49 PM","1"
"3D9.1C67C4C2E2","BCC - BON PH2 Corner Collector","6/15/2010 8:11:20 AM","1"
"3D9.1C2D154012","BCC - BON PH2 Corner Collector","6/15/2010 7:07:21 AM","1"
"3D9.1C67C490DF","B2J - Bonneville PH2 Juvenile","6/14/2010 1:18:34 AM","1"
"3D9.1C67C497C6","BCC - BON PH2 Corner Collector","6/13/2010 6:21:30 AM","1"
"3D9.1BF26B6345","B2J - Bonneville PH2 Juvenile","6/12/2010 9:27:13 PM","1"
"3D9.1C67C50F53","BCC - BON PH2 Corner Collector","6/12/2010 6:51:54 PM","1"
"3D9.1BF26B972E","B2J - Bonneville PH2 Juvenile","6/12/2010 5:06:13 PM","1"
"3D9.1C2D150CFB","B2J - Bonneville PH2 Juvenile","6/12/2010 5:34:54 AM","1"
"3D9.1C67C4C7BB","BCC - BON PH2 Corner Collector","6/11/2010 6:11:27 PM","1"
"3D9.1BF26B90ED","BCC - BON PH2 Corner Collector","6/10/2010 4:35:31 AM","1"
"3D9.1C2D16F6BA","B2J - Bonneville PH2 Juvenile","6/9/2010 10:10:39 PM","1"
"3D9.1C67C49015","BCC - BON PH2 Corner Collector","6/8/2010 1:42:39 PM","1"
"3D9.1BF26B7293","BCC - BON PH2 Corner Collector","6/8/2010 6:22:48 AM","1"
"3D9.1BF26B8230","BCC - BON PH2 Corner Collector","6/6/2010 10:18:24 AM","1"
"3D9.1BF26B9507","BCC - BON PH2 Corner Collector","6/6/2010 9:41:36 AM","1"
"3D9.1BF27FA0B4","BCC - BON PH2 Corner Collector","6/5/2010 10:18:45 AM","1"
"3D9.1BF26B941D","BCC - BON PH2 Corner Collector","6/4/2010 8:45:12 AM","1"
"3D9.1BF26B8C67","BCC - BON PH2 Corner Collector","6/4/2010 4:17:10 AM","1"
"3D9.1BF26B4934","B2J - Bonneville PH2 Juvenile","6/3/2010 9:15:58 PM","1"
"3D9.1BF26B7F71","B2J - Bonneville PH2 Juvenile","6/3/2010 9:07:13 PM","1"
"3D9.1BF26BDE39","BCC - BON PH2 Corner Collector","6/3/2010 4:21:47 PM","1"
