"Tag Code","Site Name","First Time Value","Count"
"3DD.003DE4C771","BO4 - Bonneville WA Ladder Slots","6/13/2023 10:23:30 AM","1"
"3DD.003DE4C771","BO2 - Bonneville Cascades Is. Ladder","6/13/2023 9:39:59 AM","1"
"3DD.0077B363BA","BO4 - Bonneville WA Ladder Slots","6/12/2023 3:58:20 AM","1"
"3DD.0077B363BA","BO2 - Bonneville Cascades Is. Ladder","6/11/2023 6:15:59 PM","1"
"384.3B23ABEED0","BO1 - Bonneville Bradford Is. Ladder","6/8/2023 11:15:00 AM","1"
"3DD.003D794BC4","BO1 - Bonneville Bradford Is. Ladder","6/7/2023 1:23:22 PM","1"
"384.3B23AC0753","BO1 - Bonneville Bradford Is. Ladder","6/6/2023 2:47:46 PM","1"
"3DD.0077B31639","BO4 - Bonneville WA Ladder Slots","6/6/2023 5:52:05 AM","1"
"3DD.0077B31639","BO2 - Bonneville Cascades Is. Ladder","6/6/2023 4:01:44 AM","1"
"3DD.003D5816C0","BO1 - Bonneville Bradford Is. Ladder","6/5/2023 8:37:34 AM","1"
"3DD.003D795236","BO4 - Bonneville WA Ladder Slots","6/4/2023 4:44:41 AM","1"
"3DD.003D795236","BO2 - Bonneville Cascades Is. Ladder","6/3/2023 4:39:00 PM","1"
"3DD.0077B33C92","BO4 - Bonneville WA Ladder Slots","6/3/2023 5:09:37 AM","1"
"3DD.0077B33C92","BO2 - Bonneville Cascades Is. Ladder","6/2/2023 6:54:51 PM","1"
"3DD.003D581A1B","BO1 - Bonneville Bradford Is. Ladder","6/2/2023 1:16:32 PM","1"
"384.3B23AD629A","BO4 - Bonneville WA Ladder Slots","5/30/2023 12:32:47 PM","1"
"384.3B23AD629A","BO3 - Bonneville WA Shore Ladder/AFF","5/30/2023 7:52:51 AM","1"
"3DD.003D5819E8","BO1 - Bonneville Bradford Is. Ladder","5/29/2023 7:53:08 PM","1"
"3DD.0077B37C7A","BO4 - Bonneville WA Ladder Slots","5/26/2023 1:46:00 PM","1"
"3DD.0077B37C7A","BO2 - Bonneville Cascades Is. Ladder","5/26/2023 12:37:00 PM","1"
"3DD.0077B37C7A","BO1 - Bonneville Bradford Is. Ladder","5/24/2023 12:34:43 PM","1"
"3DD.003D5814EF","BO4 - Bonneville WA Ladder Slots","5/24/2023 4:18:23 AM","1"
"3DD.003D5814EF","BO2 - Bonneville Cascades Is. Ladder","5/23/2023 7:39:47 PM","1"
"3DD.003D5814EF","BO3 - Bonneville WA Shore Ladder/AFF","5/23/2023 5:38:16 PM","1"
